Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
$92.386,$7685.0,534.0,2.0,75.0,,Yes,No,Yes,West,$843.0
$53.217,$4943.0,362.0,2.0,46.0,16 years,Yes,No,Yes,West,$382.0
$21.011,$3402.0,261.0,2.0,68.0,17 years,No,No,Yes,East,
$75.257,$7010.0,494.0,3.0,34.0,18 years,Yes,No,Yes,South,$885.0
$34.909,$5289.0,410.0,2.0,62.0,16 years,Yes,No,Yes,South,$681.0
$28.575,,231.0,2.0,60.0,11 years,Yes,No,No,East,$0.0
$58.165,$6617.0,460.0,1.0,56.0,,Yes,No,Yes,South,$856.0
$44.061,$4970.0,352.0,1.0,79.0,11 years,No,No,,East,$414.0
$57.202,$3411.0,259.0,,72.0,11 years,Yes,No,No,South,$0.0
$29.4,$4840.0,368.0,3.0,76.0,18 years,Yes,No,Yes,South,$588.0
$39.055,$5565.0,410.0,4.0,48.0,18 years,Yes,No,Yes,,$772.0
$15.629,$2493.0,186.0,1.0,60.0,,No,No,Yes,West,$0.0
,$6375.0,469.0,,25.0,16 years,Yes,No,Yes,South,$1120.0
$69.656,$8244.0,579.0,3.0,41.0,,No,No,,East,$1329.0
$26.37,$3235.0,268.0,5.0,78.0,11 years,No,No,Yes,West,$159.0
$58.351,$4411.0,326.0,2.0,85.0,16 years,Yes,No,Yes,South,$126.0
"$18,701",$5524.0,,2.0,68.0,15 years,No,No,,South,$331.0
$107.986,$6033.0,449.0,4.0,64.0,14 years,No,No,Yes,South,$227.0
$12.414,$855.0,119.0,3.0,32.0,12 years,No,No,Yes,East,
$23.283,$5443.0,407.0,,49.0,13 years,No,No,Yes,East,$912.0
$57.337,$5310.0,392.0,2.0,45.0,7 years,Yes,No,No,South,$456.0
"$18,701",$5524.0,356.0,2.0,,15 years,No,No,Yes,South,
$36.364,$2220.0,188.0,3.0,50.0,19 years,No,No,,South,$0.0
$160.231,$10748.0,754.0,2.0,69.0,17 years,No,,No,South,$1192.0
$82.706,$7506.0,536.0,2.0,64.0,,Yes,No,Yes,West,$905.0
$60.579,$5149.0,388.0,5.0,38.0,,,No,Yes,West,$443.0
$36.934,$4270.0,299.0,1.0,63.0,9 years,Yes,No,Yes,,$283.0
$21.786,$4632.0,355.0,1.0,50.0,17 years,No,No,,South,$580.0
$27.272,$1389.0,149.0,5.0,67.0,10 years,Yes,No,Yes,South,$0.0
$42.529,$4986.0,369.0,2.0,37.0,11 years,No,No,Yes,West,$489.0
,$2525.0,200.0,3.0,57.0,15 years,Yes,No,Yes,East,$0.0
$36.355,$3613.0,278.0,4.0,35.0,,No,No,Yes,West,$187.0
$27.369,$3449.0,288.0,3.0,40.0,9 years,Yes,No,,South,$162.0
$53.598,$3714.0,286.0,3.0,73.0,17 years,Yes,No,Yes,East,$0.0
$14.956,$4640.0,332.0,2.0,,6 years,No,No,,West,$681.0
$73.327,$6555.0,472.0,2.0,43.0,15 years,Yes,No,No,South,$721.0
$115.123,$7760.0,538.0,,83.0,14 years,Yes,No,No,East,$661.0
$42.471,$3625.0,289.0,6.0,44.0,12 years,Yes,Yes,No,South,$654.0
$69.943,$7555.0,,3.0,76.0,9 years,No,No,,West,$1058.0
$37.878,$6827.0,482.0,2.0,80.0,13 years,Yes,No,No,South,$1129.0
$16.751,$4706.0,353.0,6.0,48.0,14 years,No,Yes,,West,$1255.0
$29.725,,270.0,2.0,52.0,15 years,Yes,No,No,East,$133.0
$19.144,$3291.0,269.0,2.0,75.0,13 years,Yes,,No,East,$148.0
$30.42,$4442.0,316.0,1.0,30.0,14 years,Yes,No,No,East,$450.0
$46.102,$5180.0,382.0,3.0,81.0,12 years,No,No,Yes,East,$516.0
$15.333,$1499.0,138.0,2.0,47.0,9 years,Yes,No,Yes,West,$0.0
$24.889,$3954.0,318.0,4.0,75.0,12 years,No,No,Yes,South,$357.0
$49.794,,410.0,4.0,40.0,8 years,No,No,No,South,$734.0
$44.978,$4866.0,347.0,1.0,30.0,10 years,Yes,No,No,South,$436.0
$58.781,$7402.0,538.0,2.0,81.0,12 years,Yes,No,Yes,West,$1103.0
$61.62,$5140.0,374.0,,71.0,9 years,No,No,Yes,South,$302.0
$17.765,$5072.0,364.0,1.0,66.0,12 years,Yes,No,Yes,South,$732.0
$63.534,$8100.0,581.0,2.0,50.0,17 years,Yes,No,Yes,South,$1298.0
,$5611.0,411.0,4.0,55.0,16 years,Yes,No,No,South,$915.0
$21.455,,427.0,4.0,80.0,12 years,Yes,No,Yes,East,$1018.0
$21.038,$1448.0,145.0,2.0,58.0,13 years,Yes,No,Yes,South,$0.0
$64.173,$6127.0,433.0,1.0,80.0,10 years,No,No,Yes,,$578.0
$41.192,$3673.0,297.0,3.0,54.0,16 years,Yes,No,Yes,South,$121.0
$11.795,,,,25.0,10 years,Yes,No,No,South,$531.0
$29.567,$5309.0,,3.0,25.0,15 years,No,No,No,South,$799.0
$62.602,$7056.0,,1.0,84.0,11 years,Yes,No,No,South,$904.0
$27.952,$3557.0,263.0,1.0,35.0,13 years,Yes,No,Yes,West,$163.0
$25.974,$2308.0,196.0,2.0,24.0,10 years,No,,No,West,
$54.319,$3063.0,248.0,3.0,59.0,8 years,Yes,Yes,No,South,$269.0
$64.027,,398.0,5.0,48.0,8 years,No,No,Yes,East,$411.0
$62.328,$5228.0,377.0,3.0,83.0,15 years,No,No,No,South,$380.0
$87.625,$7167.0,515.0,2.0,46.0,,Yes,No,No,East,$767.0
$12.096,$4100.0,307.0,3.0,32.0,13 years,,No,Yes,South,$560.0
$43.54,$2906.0,232.0,4.0,69.0,11 years,No,,No,South,$0.0
$33.437,$6207.0,451.0,4.0,44.0,9 years,No,Yes,No,South,$1549.0
"$18,701",$5524.0,356.0,2.0,68.0,15 years,No,No,Yes,South,
$30.007,$6481.0,462.0,2.0,69.0,9 years,Yes,No,Yes,South,$1093.0
$41.532,$5000.0,353.0,2.0,50.0,12 years,No,No,Yes,South,$531.0
$24.543,$3206.0,243.0,2.0,62.0,12 years,Yes,No,Yes,South,$95.0
$49.166,,508.0,3.0,68.0,14 years,Yes,,No,West,$984.0
,$3762.0,287.0,3.0,80.0,8 years,No,No,Yes,South,$70.0
$55.054,$4381.0,321.0,3.0,74.0,17 years,No,No,Yes,West,$188.0
$33.017,$3180.0,224.0,2.0,28.0,16 years,No,No,Yes,East,$29.0
$44.205,$5441.0,394.0,1.0,32.0,12 years,No,No,Yes,,$607.0
$35.61,$6135.0,466.0,4.0,40.0,12 years,,No,No,South,$992.0
$31.029,$2863.0,223.0,2.0,66.0,17 years,No,Yes,Yes,West,$415.0
$39.422,$5245.0,383.0,2.0,44.0,19 years,,No,No,East,$637.0
$27.241,$1402.0,128.0,2.0,67.0,15 years,Yes,No,Yes,West,$0.0
$13.433,$1134.0,112.0,3.0,70.0,14 years,No,No,Yes,,$0.0
$14.312,$5382.0,367.0,1.0,59.0,17 years,No,Yes,No,West,$1380.0
$42.357,$5550.0,406.0,2.0,83.0,12 years,Yes,No,,West,$653.0
$42.079,$6626.0,479.0,2.0,44.0,9 years,No,No,No,West,$1048.0
$23.375,$5429.0,396.0,3.0,57.0,15 years,Yes,No,,South,$844.0
$35.864,$4831.0,353.0,3.0,66.0,13 years,Yes,No,Yes,South,$534.0
$20.15,$2646.0,199.0,2.0,25.0,14 years,Yes,No,Yes,West,$0.0
$134.181,$7838.0,563.0,,48.0,13 years,Yes,No,No,South,$526.0
$10.842,$4391.0,358.0,5.0,37.0,10 years,Yes,Yes,Yes,South,
$103.893,$7416.0,549.0,3.0,84.0,,No,No,No,West,$669.0
$34.48,$6090.0,442.0,3.0,36.0,14 years,No,No,,South,$962.0
$115.52,$9272.0,656.0,2.0,69.0,14 years,No,No,No,East,$1140.0
$41.025,$4229.0,337.0,3.0,79.0,19 years,Yes,No,Yes,,$246.0
$10.635,$3584.0,294.0,5.0,,16 years,No,No,Yes,West,$423.0
$23.106,,257.0,2.0,50.0,15 years,Yes,No,No,South,$209.0
$71.061,$6819.0,491.0,3.0,41.0,19 years,Yes,Yes,Yes,East,$1350.0
$52.179,$7306.0,522.0,2.0,57.0,14 years,No,No,No,West,$1142.0
$14.09,$4323.0,326.0,5.0,25.0,16 years,,No,Yes,East,$671.0
$12.031,$3182.0,259.0,2.0,58.0,18 years,Yes,No,Yes,South,$210.0
$25.383,,367.0,4.0,46.0,,,No,Yes,South,$570.0
$33.694,$4891.0,369.0,1.0,52.0,16 years,No,,No,East,$1036.0
$30.012,$1511.0,137.0,2.0,33.0,17 years,,No,,South,$0.0
"$18,701",$5524.0,356.0,2.0,68.0,15 years,No,No,Yes,,$331.0
$51.345,$4327.0,320.0,,46.0,15 years,No,,No,East,$230.0
$24.919,$5051.0,372.0,3.0,76.0,11 years,,No,Yes,East,$711.0
$62.413,$6457.0,455.0,2.0,71.0,11 years,Yes,No,Yes,South,$762.0
$17.7,$2860.0,235.0,4.0,63.0,16 years,Yes,No,No,West,
,$4828.0,369.0,5.0,81.0,8 years,Yes,No,No,East,$510.0
,$9156.0,642.0,2.0,91.0,11 years,Yes,No,Yes,East,$732.0
$19.537,$1362.0,143.0,4.0,34.0,9 years,Yes,No,Yes,West,$0.0
$11.808,$1300.0,117.0,3.0,77.0,14 years,Yes,No,No,East,$0.0
$41.868,$4716.0,342.0,2.0,47.0,18 years,No,No,No,South,$425.0
$39.116,$2150.0,173.0,4.0,75.0,15 years,No,No,No,South,$0.0
$14.711,$2047.0,167.0,2.0,,6 years,No,No,Yes,South,$0.0
$43.479,$4569.0,354.0,,49.0,13 years,No,Yes,Yes,East,$902.0
$69.251,$6386.0,474.0,4.0,30.0,12 years,Yes,No,Yes,West,$768.0
,,,,,,,,,,
$36.362,$5183.0,376.0,3.0,49.0,15 years,No,No,Yes,East,$654.0
$35.51,$5198.0,364.0,2.0,35.0,20 years,Yes,No,No,West,$631.0
$20.791,$2672.0,204.0,1.0,70.0,18 years,Yes,No,No,East,$0.0
$21.153,,256.0,1.0,41.0,11 years,No,No,No,South,$298.0
$10.503,$2923.0,232.0,3.0,25.0,,Yes,No,Yes,East,$191.0
$10.726,$1568.0,162.0,5.0,46.0,19 years,No,No,Yes,West,$0.0
$53.308,$2860.0,214.0,1.0,84.0,10 years,No,No,Yes,,
$17.976,$2433.0,190.0,3.0,70.0,16 years,,Yes,No,South,$431.0
$57.872,$4171.0,321.0,5.0,67.0,12 years,Yes,No,Yes,South,$138.0
$27.578,$2531.0,195.0,1.0,34.0,15 years,Yes,No,Yes,South,$0.0
$20.103,$2631.0,213.0,3.0,61.0,10 years,No,No,Yes,East,$0.0
$15.354,$2101.0,171.0,2.0,65.0,14 years,No,No,No,West,$0.0
$25.078,$3096.0,236.0,2.0,27.0,15 years,Yes,No,Yes,South,$81.0
$39.11,$3189.0,263.0,3.0,72.0,12 years,No,No,No,West,$0.0
$59.855,$4964.0,365.0,1.0,46.0,13 years,Yes,No,Yes,South,$295.0
$41.419,$2120.0,184.0,4.0,24.0,11 years,Yes,Yes,No,South,$156.0
$146.183,$9540.0,682.0,6.0,66.0,15 years,No,No,,South,$1050.0
,$5524.0,356.0,2.0,68.0,15 years,No,No,Yes,South,$331.0
$41.365,$5303.0,377.0,1.0,45.0,14 years,No,No,No,South,$606.0
$18.967,$1626.0,156.0,2.0,41.0,11 years,Yes,No,Yes,West,$0.0
$83.948,$7100.0,503.0,2.0,44.0,18 years,No,No,No,South,$806.0
$14.595,$2955.0,260.0,5.0,37.0,9 years,No,No,Yes,East,$204.0
,$3838.0,296.0,5.0,65.0,17 years,No,No,No,East,$480.0
$68.462,$4712.0,340.0,2.0,71.0,16 years,No,No,Yes,South,
$128.669,,685.0,3.0,67.0,16 years,No,No,Yes,,$1243.0
$107.841,$10384.0,728.0,3.0,87.0,7 years,No,No,No,East,
$20.996,$3388.0,259.0,2.0,37.0,12 years,Yes,No,No,East,$203.0
$38.009,,245.0,,45.0,15 years,Yes,No,No,East,$0.0
$31.335,$3526.0,289.0,3.0,38.0,,Yes,No,No,South,$172.0
$69.165,$4668.0,341.0,2.0,34.0,11 years,Yes,No,No,East,$156.0
$19.588,$3211.0,265.0,4.0,59.0,14 years,Yes,No,No,West,$199.0
$44.158,$4763.0,351.0,2.0,66.0,13 years,Yes,No,Yes,West,$385.0
$46.007,$6637.0,491.0,4.0,,14 years,No,No,Yes,South,$1046.0
$63.931,$5728.0,435.0,3.0,28.0,14 years,Yes,No,Yes,East,$581.0
$36.295,$2963.0,241.0,2.0,68.0,,Yes,Yes,No,East,
$88.83,$4952.0,360.0,4.0,86.0,,,No,Yes,South,$15.0
$27.512,$4613.0,344.0,5.0,72.0,17 years,No,No,Yes,West,$573.0
$44.847,$5765.0,437.0,3.0,53.0,13 years,Yes,Yes,No,West,$1246.0
$63.095,,589.0,,30.0,14 years,No,No,Yes,South,$1407.0
$24.46,$1924.0,165.0,2.0,50.0,14 years,Yes,No,,West,$0.0
$33.214,$5137.0,387.0,3.0,59.0,9 years,No,No,No,East,$661.0
$16.279,$1160.0,126.0,3.0,78.0,13 years,No,Yes,Yes,East,$5.0
$83.851,$8494.0,607.0,5.0,47.0,18 years,,No,No,South,$1311.0
$26.067,$3388.0,266.0,4.0,74.0,17 years,Yes,No,Yes,East,$155.0
$182.728,$13913.0,982.0,,98.0,17 years,No,No,Yes,South,$1999.0
$20.405,$4543.0,329.0,2.0,72.0,17 years,No,Yes,No,West,$1054.0
$34.509,$2001.0,189.0,5.0,80.0,18 years,Yes,No,Yes,East,$0.0
$14.887,$4745.0,339.0,3.0,58.0,12 years,No,No,Yes,East,$724.0
$59.53,$7518.0,543.0,3.0,52.0,9 years,Yes,No,No,East,$1176.0
$98.515,$8760.0,633.0,,78.0,11 years,Yes,No,No,East,$1230.0
$25.936,$1774.0,135.0,2.0,71.0,14 years,Yes,No,No,West,$0.0
$10.735,$3746.0,280.0,2.0,44.0,17 years,Yes,No,Yes,South,$410.0
$26.532,$2910.0,236.0,6.0,58.0,19 years,Yes,No,Yes,South,$52.0
$148.08,$8157.0,599.0,2.0,83.0,13 years,No,No,Yes,South,$454.0
$34.142,$5666.0,413.0,4.0,47.0,5 years,Yes,No,Yes,South,$863.0
$22.379,$3965.0,292.0,2.0,34.0,14 years,Yes,No,Yes,West,$384.0
$104.593,$7075.0,514.0,4.0,71.0,11 years,No,No,No,West,$580.0
$135.118,$10578.0,747.0,3.0,81.0,15 years,Yes,No,Yes,West,$1393.0
$13.561,$3261.0,279.0,5.0,37.0,19 years,No,No,Yes,West,$297.0
$110.968,$6662.0,468.0,3.0,45.0,11 years,Yes,No,Yes,South,$391.0
$37.348,$6378.0,458.0,1.0,72.0,17 years,Yes,No,No,South,$968.0
$31.367,$1829.0,162.0,4.0,30.0,10 years,No,No,Yes,South,$0.0
$30.111,$4336.0,339.0,1.0,81.0,18 years,No,No,Yes,South,$347.0
$20.918,,128.0,3.0,47.0,18 years,Yes,Yes,Yes,West,$16.0
$26.4,$5640.0,398.0,3.0,,15 years,Yes,No,No,West,$905.0
"$18,701",$5524.0,356.0,2.0,68.0,15 years,,No,Yes,South,$331.0
$89.0,$5759.0,440.0,3.0,37.0,6 years,Yes,No,No,South,$345.0
$54.663,$4116.0,314.0,2.0,70.0,8 years,Yes,No,No,East,$75.0
$16.482,$3326.0,268.0,4.0,41.0,15 years,No,No,No,,$271.0
$31.353,$1705.0,160.0,3.0,81.0,14 years,No,No,Yes,South,$0.0
$23.793,$3821.0,281.0,4.0,56.0,12 years,Yes,Yes,Yes,East,
$27.229,$3484.0,282.0,6.0,51.0,11 years,No,No,No,South,$265.0
$43.682,$6922.0,511.0,1.0,49.0,9 years,No,No,Yes,South,$1081.0
$68.713,$7582.0,531.0,2.0,56.0,,No,Yes,No,South,$1587.0
$28.508,$3933.0,287.0,4.0,,14 years,No,No,Yes,West,$336.0
$23.883,$5384.0,398.0,2.0,73.0,16 years,Yes,No,Yes,East,$802.0
$17.392,$2748.0,228.0,3.0,32.0,14 years,No,No,Yes,South,$68.0
$30.682,$1671.0,160.0,2.0,77.0,7 years,Yes,No,No,South,$0.0
$39.609,$2539.0,,1.0,40.0,14 years,,No,Yes,West,$0.0
$55.187,$5352.0,,4.0,50.0,17 years,Yes,No,Yes,South,$538.0
"$18,701",$5524.0,356.0,2.0,68.0,,No,No,Yes,South,$331.0
$12.581,$3976.0,291.0,2.0,48.0,,No,No,Yes,,$474.0
$39.145,,323.0,2.0,66.0,13 years,No,No,Yes,South,$308.0
$125.48,$10230.0,721.0,3.0,82.0,16 years,No,No,Yes,,$1361.0
$16.819,$1337.0,115.0,,74.0,15 years,No,No,Yes,West,$0.0
$113.772,$6442.0,489.0,4.0,69.0,,No,Yes,Yes,South,
$26.427,$5533.0,433.0,5.0,50.0,15 years,Yes,Yes,Yes,West,$1404.0
$44.473,$3500.0,257.0,3.0,81.0,16 years,Yes,No,No,East,$8.0
$123.299,$8376.0,610.0,2.0,89.0,17 years,No,Yes,,East,$1259.0
$23.365,$2179.0,167.0,2.0,75.0,,No,No,No,West,$0.0
$34.664,$5835.0,452.0,3.0,,15 years,Yes,No,Yes,East,$835.0
$55.056,$3155.0,235.0,2.0,31.0,16 years,No,No,Yes,East,$0.0
$163.329,$8732.0,636.0,3.0,50.0,14 years,No,No,Yes,,$529.0
$10.793,$3878.0,321.0,8.0,29.0,,No,No,No,,$638.0
,$6040.0,456.0,3.0,47.0,,,,Yes,South,$812.0
$21.238,$3089.0,254.0,3.0,59.0,10 years,Yes,No,No,South,$108.0
$25.124,$4776.0,378.0,4.0,29.0,,No,No,Yes,South,$657.0
$17.316,,138.0,2.0,65.0,13 years,No,No,No,East,$0.0
$71.682,$8028.0,599.0,3.0,57.0,16 years,No,No,Yes,South,$1208.0
$14.479,$3907.0,296.0,3.0,43.0,16 years,No,No,Yes,South,$463.0
$35.691,$2880.0,214.0,2.0,35.0,15 years,No,No,No,East,$0.0
$36.508,$6386.0,469.0,,79.0,6 years,Yes,No,Yes,South,$1048.0
$15.476,$2762.0,215.0,3.0,60.0,18 years,No,No,No,West,$52.0
"$18,701",$5524.0,356.0,2.0,68.0,,No,,Yes,South,$331.0
$16.479,$5435.0,388.0,2.0,26.0,16 years,No,No,No,East,$937.0
$30.55,$5869.0,439.0,5.0,81.0,9 years,Yes,No,No,East,$967.0
$11.187,$5099.0,380.0,4.0,69.0,16 years,Yes,No,No,East,
$14.292,$3274.0,282.0,9.0,64.0,9 years,No,No,Yes,South,$382.0
$36.142,$1852.0,183.0,3.0,33.0,13 years,Yes,No,No,East,$0.0
$12.068,$3873.0,292.0,1.0,44.0,18 years,Yes,No,Yes,West,$413.0
$27.47,$2820.0,219.0,1.0,32.0,11 years,Yes,No,Yes,West,$0.0
$34.95,$3327.0,253.0,3.0,54.0,14 years,Yes,No,No,East,$50.0
$12.335,$4471.0,344.0,3.0,79.0,12 years,No,No,Yes,East,$611.0
$121.834,$10673.0,750.0,3.0,54.0,16 years,,No,No,East,$1573.0
$27.349,$2000.0,169.0,4.0,51.0,16 years,Yes,No,Yes,East,$0.0
$66.989,$5614.0,430.0,3.0,47.0,14 years,Yes,No,Yes,South,$482.0
$23.857,$1501.0,150.0,3.0,56.0,,No,No,Yes,South,$0.0
$40.885,$5013.0,379.0,3.0,46.0,13 years,Yes,No,Yes,East,$549.0
$124.29,$9560.0,,3.0,52.0,17 years,Yes,Yes,No,West,$1687.0
$27.039,$2161.0,173.0,3.0,40.0,17 years,Yes,No,No,South,$0.0
$21.551,$5380.0,420.0,5.0,51.0,18 years,No,No,,West,
$10.354,$3480.0,281.0,2.0,70.0,17 years,No,No,Yes,South,$333.0
$76.782,$5977.0,429.0,4.0,44.0,12 years,No,No,Yes,West,$548.0
$63.809,$7530.0,515.0,1.0,56.0,12 years,No,No,Yes,South,$1086.0
$80.18,$8047.0,569.0,4.0,77.0,10 years,No,No,No,South,$1151.0
$10.363,$2430.0,191.0,2.0,47.0,18 years,Yes,,Yes,West,$0.0
$20.936,$3254.0,253.0,1.0,30.0,15 years,Yes,No,No,,$145.0
$32.793,$4534.0,333.0,2.0,44.0,16 years,No,No,No,East,$467.0
$19.225,,122.0,3.0,38.0,14 years,Yes,No,No,South,$0.0
$130.209,$10088.0,730.0,,39.0,19 years,Yes,No,Yes,South,$1426.0
$51.532,$5096.0,380.0,2.0,31.0,15 years,No,No,,South,$481.0
$29.403,$2327.0,178.0,1.0,37.0,14 years,Yes,No,Yes,South,$0.0
$32.164,$2937.0,,2.0,79.0,15 years,Yes,No,Yes,East,$0.0
$39.705,$3969.0,301.0,2.0,27.0,20 years,No,No,Yes,East,$211.0
$23.672,$4433.0,344.0,3.0,63.0,11 years,No,No,No,South,$503.0
$19.349,,366.0,1.0,33.0,19 years,No,No,Yes,South,$717.0
$20.974,$5673.0,413.0,5.0,,16 years,Yes,No,Yes,South,$1000.0
$58.026,$7499.0,560.0,5.0,67.0,11 years,Yes,No,No,South,$1237.0
$27.59,$2586.0,229.0,5.0,54.0,16 years,No,No,Yes,East,$0.0
$13.444,$886.0,121.0,5.0,44.0,10 years,No,No,Yes,West,$0.0
$23.793,$3615.0,263.0,2.0,70.0,14 years,No,No,No,East,$216.0
$158.889,$11589.0,805.0,1.0,62.0,17 years,Yes,No,Yes,South,$1448.0
$55.882,$4897.0,357.0,2.0,,16 years,No,No,Yes,,$331.0
$15.045,$1311.0,138.0,3.0,64.0,16 years,No,No,No,,$0.0
$19.782,$3782.0,293.0,2.0,46.0,16 years,Yes,,No,South,$840.0
$18.036,$1552.0,142.0,2.0,48.0,15 years,Yes,No,No,South,$0.0
$49.502,$6819.0,505.0,4.0,55.0,14 years,No,No,Yes,South,$1084.0
$59.879,$6906.0,527.0,6.0,,15 years,,No,No,South,$1032.0
$25.988,$1349.0,142.0,4.0,82.0,12 years,No,No,No,South,$0.0
$30.132,$2168.0,206.0,3.0,52.0,17 years,No,No,No,South,$0.0
$73.914,$7333.0,529.0,6.0,67.0,15 years,Yes,No,Yes,South,$1048.0
$94.193,$7576.0,527.0,2.0,44.0,16 years,Yes,No,Yes,South,$846.0
$180.379,$9310.0,665.0,3.0,67.0,8 years,Yes,Yes,Yes,West,$1050.0
$13.647,$3461.0,264.0,4.0,47.0,14 years,No,No,Yes,South,$344.0
$53.566,$5891.0,434.0,4.0,82.0,10 years,Yes,,No,South,$712.0
$23.35,$2558.0,220.0,3.0,49.0,12 years,Yes,Yes,No,,$419.0
$91.362,$9113.0,626.0,1.0,47.0,17 years,No,No,Yes,West,$1341.0
$152.298,$12066.0,828.0,4.0,41.0,12 years,Yes,No,Yes,West,$1779.0
$15.866,$3085.0,217.0,1.0,39.0,13 years,No,No,No,South,$136.0
$121.709,$7818.0,584.0,4.0,50.0,6 years,No,No,Yes,South,$701.0
$34.772,$2021.0,167.0,3.0,,9 years,No,No,No,West,$0.0
$24.05,$2607.0,221.0,4.0,32.0,18 years,No,No,Yes,South,$0.0
$23.949,$5343.0,383.0,2.0,,18 years,,,Yes,,$829.0
$32.856,$5884.0,438.0,4.0,68.0,13 years,No,No,No,South,$926.0
$13.234,$3922.0,299.0,2.0,77.0,17 years,Yes,No,Yes,South,$426.0
$113.829,$9704.0,694.0,4.0,38.0,13 years,Yes,No,Yes,West,$1388.0
$13.676,$2330.0,203.0,5.0,80.0,16 years,Yes,No,No,East,$0.0
$18.951,$1485.0,129.0,3.0,,13 years,Yes,No,No,South,$0.0
$92.112,$4612.0,,3.0,32.0,17 years,No,No,,South,
$39.831,$6045.0,459.0,3.0,32.0,12 years,Yes,Yes,Yes,East,
$80.861,$4090.0,335.0,3.0,,15 years,Yes,No,Yes,West,$0.0
$20.191,$5767.0,431.0,4.0,42.0,16 years,No,,Yes,East,$1023.0
$12.0,$4160.0,320.0,4.0,28.0,14 years,Yes,No,Yes,South,
$15.125,$3300.0,266.0,5.0,66.0,13 years,,No,No,South,$279.0
$30.622,$3293.0,251.0,1.0,68.0,16 years,No,Yes,No,South,$532.0
$14.084,$855.0,120.0,5.0,46.0,17 years,Yes,No,Yes,East,$0.0
